player,pos,salary,caphit
Luke Schenn,D,787500,875000
Blake Wheeler,RW,787500,875000
Jay Beagle,C,687500,875000
Ben Lovejoy,D,637500,875000
Yannick Weber,D,587500,875000
T.J. Galiardi,RW,562500,875000
Stéphane Veilleux,LW,862500,862500
Sean Bergenheim,LW,800000,862500
Spencer Machacek,RW,635000,858333
Ryan Parent,D,850000,855000
Vernon Fiddler,C,900000,850000
Mikhail Grabovski,C,850000,850000
Guillaume Latendresse,RW,850000,850000
Vladimir Mihalik,D,850000,850000
Matt Pelech,D,850000,850000
Carey Price,G,850000,850000
Ian White,D,850000,850000
Petteri Nokelainen,RW,800000,850000
Ben Bishop,G,765000,850000
Derick Brassard,C,765000,850000
Andrew Cogliano,C,765000,850000
Michael Frolik,RW,765000,850000
Nathan Gerbe,C,765000,850000
Martin Hanzal,C,765000,850000
Nikolay Kulemin,RW,765000,850000
Bryan Little,C,765000,850000
Steve Mason,G,765000,850000
Ondrej Pavelec,G,765000,850000
Benoit Pouliot,LW,765000,850000
Tuukka Rask,G,765000,850000
Bobby Ryan,RW,765000,850000
Devin Setoguchi,RW,765000,850000
James Sheppard,C,765000,850000
Jordan Staal,C,765000,850000
Marc Staal,D,765000,850000
Jiri Tlusty,LW,765000,850000
Paul Stastny,C,710000,850000
Sean Collins,D,685000,850000
Ben Maxwell,C,685000,850000
Oskar Osala,LW,685000,850000
Nick Foligno,LW,660000,850000
Andreas Nodl,RW,660000,850000
Ilya Zubov,C,660000,850000
Mathieu Carle,D,635000,850000
Tim Kennedy,LW,635000,850000
Matt Niskanen,D,635000,850000
Marc-André Cliche,C,585000,850000
Milan Lucic,LW,585000,850000
Tom Pyatt,C,585000,850000
Logan Pyett,D,585000,850000
Brian Salcido,D,585000,850000
Chris Butler,D,560000,850000
Kevin Westgarth,RW,560000,850000
Vladimir Zharkov,RW,560000,850000
Tomas Marcinko,RW,540000,850000
Michael Sauer,D,585000,846667
Kyle Turris,C,787500,845833
Jakub Voracek,RW,787500,845833
Dave Bolland,C,687500,845833
Alex Goligoski,D,600000,845300
David Clarkson,RW,800000,837500
Kristopher Letang,D,685000,835000
Alexander Nikulin,C,725000,833333
Jason Labarbera,G,850000,825000
Riku Helenius,G,850000,821667
Jakub Kindl,D,850000,821667
Michal Neuvirth,G,850000,821667
Semyon Varlamov,G,850000,821667
Anze Kopitar,C,765000,821667
Trevor Lewis,C,765000,821667
Kyle Okposo,RW,765000,821667
Cory Emmerton,LW,710000,821667
Riley Holzapfel,C,635000,821667
Brendan Mikkelson,D,635000,821667
Artem Anisimov,C,850000,821666
Claude Giroux,C,765000,821666
Bob Sanguinetti,D,765000,821666
Niclas Bergfors,RW,475000,818333
Sergei Kostitsyn,RW,550000,816667
Petri Kontiola,C,850000,812500
Chris Stewart,RW,850000,811667
Steve Montador,D,800000,800000
Mikael Tellqvist,G,800000,800000
Teddy Purcell,RW,765000,800000
Jonathan Bernier,G,765000,793333
Michael Grabner,LW,765000,793333
Ryan Craig,C,775000,787500
Jim Slater,C,800000,775000
Marcel Goc,C,775000,775000
Jaroslav Halak,G,750000,775000
Darcy Hordichuk,LW,750000,775000
Shawn Matthias,C,685000,773333
David Krejci,C,625000,766667
Gregory Campbell,C,762500,762500
Mike Mottau,D,762500,762500
Tom Sestito,LW,560000,751667
Jiri Novotny,C,800000,750000
Erik Christensen,C,750000,750000
Jed Ortmeyer,RW,750000,750000
Eric Godard,LW,725000,750000
Jeff Schultz,D,650000,750000
Tobias Enstrom,D,600000,750000
Matt Hunwick,D,600000,750000
Vladimir Sobotka,C,575000,750000
Brian Boyle,C,500000,750000
Kris Russell,D,575000,744444
Jared Boll,RW,570000,743333
Dustin Boyd,C,675000,741667
Justin Falk,D,572500,741667
Bruno Gervais,D,740833,740833
Bryan Lerg,C,737500,737500
Nick Spaling,C,625000,737500
Eric Fehr,RW,735000,735000
Marc-Edouard Vlasic,D,650000,735000
Teemu Laakso,D,580000,733333
Josh Harding,G,750000,725000
Greg Zanon,D,750000,725000
Tomas Fleischmann,C,725000,725000
Boyd Gordon,C,725000,725000
Tim Stapleton,C,725000,725000
Jeff Woywitka,D,725000,725000
Al Montoya,G,700000,725000
Mark Fistric,D,650000,725000
Jimmy Howard,G,600000,716667
Torrey Mitchell,C,500000,715000
Patric Hornqvist,RW,595000,713333
Robert Scuderi,D,725000,712500
Adam Burish,C,712500,712500
Justin Abdelkader,LW,660000,710000
T.J. Hensick,C,685000,706667
Mike Blunden,RW,700000,701667
Zack Stortini,C,700000,700000
Mike Weaver,D,700000,700000
Sami Lepisto,D,675000,700000
Mason Raymond,LW,600000,693333
Blake Comeau,LW,735000,691667
Alexander Sulzer,D,640000,691250
Mike Lundin,D,737500,687500
Jake Dowell,C,700000,687500
Eric Nystrom,LW,687500,687500
Maxim Lapierre,C,575000,687500
Mark Letestu,C,650000,685000
Trevor Smith,LW,600000,685000
Jamie McGinn,LW,600000,681667
Troy Brouwer,LW,700000,675000
Maxime Talbot,C,700000,675000
Mathieu Perreault,LW,600000,666667
Karri Ramo,G,575000,658333
Brett Lebda,D,650000,650000
Curtis Sanford,G,650000,650000
Alexei Semenov,D,650000,650000
Clay Wilson,D,650000,650000
Kevin Klein,D,500000,650000
Andrej Sekera,D,475000,650000
James Neal,LW,635000,646667
Jan Mursak,RW,793500,646111
John Armstrong,C,540000,644444
Niklas Hjalmarsson,D,644000,643333
Arron Asham,RW,640000,640000
Alec Martinez,D,525000,637500
Jhonas Enroth,G,500000,635000
Brandon Dubinsky,C,635000,633333
Kent Huskins,D,650000,625000
Jeff Drouin-Deslauriers,G,625000,625000
Andrew Murray,C,600000,625000
Chris Bourque,LW,525000,625000
Ryan Carter,LW,525000,625000
Adam McQuaid,D,550000,623333
Jesse Joensuu,RW,500000,618333
Chad Kolarik,C,640000,615000
Anton Stralman,D,615000,615000
Keith Yandle,D,550000,610000
Ryan White,C,500000,610000
Peter Regin,C,595000,607500
Andrew Gordon,RW,585000,606667
Brian McGrattan,RW,605000,605000
Matt Keetley,G,535000,601667
Jeff Zatkoff,G,500000,601667
Ben Eager,LW,650000,600000
Craig Adams,RW,600000,600000
Eric Boulton,LW,600000,600000
Grant Clitsome,D,600000,600000
Andy Greene,D,600000,600000
Adam Hall,RW,600000,600000
Raitis Ivanans,LW,600000,600000
Tim Jackman,RW,600000,600000
Mike Leighton,G,600000,600000
Janne Niskala,D,600000,600000
Johnny Oduya,D,600000,600000
Matt Walker,D,600000,600000
Brian Willsie,RW,600000,600000
Brad Winchester,LW,600000,600000
Theo Peckham,D,560000,600000
Tom Wandell,C,560000,600000
Paul Szczechura,C,550000,600000
Jonathan Matsumoto,C,525000,600000
David Booth,LW,500000,600000
Darren Helm,LW,630000,597833
Nick Johnson,RW,530000,592500
Mike Santorelli,C,590000,591667
Steve Downie,RW,585000,590000
Matthew Corrente,D,500000,590000
Brad Marchand,LW,500000,590000
Nigel Dawes,LW,587500,587500
Brad Richardson,C,575000,587500
Jeff Tambellini,LW,550000,587500
Michael Caruso,D,514500,587500
Matt Halischuk,RW,475000,587500
Anton Khudobin,G,600000,586667
Colton Sceviour,C,500000,585833
Peter Harrold,D,583333,583333
Ryan Reaves,RW,510000,583333
Matt Beleskey,LW,480000,583333
Dale Weise,RW,475000,578333
Nathan Oystrick,D,577500,577500
Krys Barch,RW,575000,575000
Tyson Strachan,D,575000,575000
Maxim Noreau,D,550000,575000
Ryan Callahan,RW,500000,575000
Cal Clutterbuck,RW,557500,570833
Andrew Bodnarchuk,D,575000,566666
Derek Dorsett,RW,485000,563333
David Meckler,RW,530000,561667
Rob Davison,D,560000,560000
Jonathan Quick,G,550000,560000
Marc-André Gragnani,D,551200,558333
Mike Weber,D,551200,558333
Zack Smith,C,500000,558333
Wayne Simmonds,RW,475000,556667
Andrew Campbell,D,475000,555000
Cody McLeod,LW,552500,552500
Cody Franson,D,578333,552222
Kyle Cumiskey,D,475000,551667
Ryan Wilson,D,515000,551666
Douglas Murray,D,600000,550000
Craig Anderson,G,575000,550000
David Moss,RW,575000,550000
George Parros,RW,575000,550000
Joey Crabb,RW,550000,550000
BJ Crombeen,RW,550000,550000
Yann Danis,G,550000,550000
Alexander Edler,D,550000,550000
Josh Gratton,LW,550000,550000
Nate Guenin,D,550000,550000
Cam Janssen,RW,550000,550000
David Jones,RW,550000,550000
Derek MacKenzie,C,550000,550000
Peter Olvecky,LW,550000,550000
Pascal Pelletier,C,550000,550000
Toby Petersen,C,550000,550000
Danny Syvret,D,550000,550000
Ben Walter,C,550000,550000
James Thomas Wyman,RW,550000,550000
Rod Pelley,C,525000,550000
Jesse Winchester,RW,525000,550000
Roman Polak,D,475000,550000
Pekka Rinne,G,575000,547500
James Reimer,G,475000,546667
Rich Clune,LW,450000,545833
Greg Scott,RW,525000,545000
Aaron Rome,D,544500,544500
Jason Demers,D,515000,543333
Frazer McLaren,LW,475000,543333
Corey Potter,D,500000,542500
Jordan Henry,D,510000,542333
Patrick McNeill,D,550000,541667
Jeff Frazee,G,525000,541667
Tyler Kennedy,C,500000,541667
John Erskine,D,550000,537500
Colton Orr,RW,550000,537500
Steve Macintyre,D,525000,537500
Kaspars Daugavins,LW,530000,536667
Brett Bellemore,D,475000,533333
Mark Dekanich,G,520000,532500
Bryan Rodney,D,530000,530000
Brett Sutter,C,510000,528333
Patrick Maroon,LW,475000,528333
Alexandre Bolduc,C,515000,527500
Tim Brent,C,525000,525000
Mike Iggulden,C,525000,525000
Aaron Johnson,D,525000,525000
Nathan McIver,D,525000,525000
Drew Miller,C,525000,525000
Kyle Quincey,D,525000,525000
Joel Rechlicz,RW,525000,525000
Jamie Tardif,RW,525000,525000
Nick Tarnasky,C,525000,525000
Bill Thomas,RW,525000,525000
Davis Drewiske,D,512000,525000
Brandon Bochenski,RW,500000,525000
Jean-François Jacques,LW,500000,525000
Frans Nielsen,C,500000,525000
Daniel Winnik,C,475000,523333
Mike Brown,RW,522500,522500
Zack Fitzgerald,D,522500,522500
Clarke MacArthur,LW,522500,522500
Mark Mancari,RW,522500,522500
Cody McCormick,C,522500,522500
Marc Methot,D,522500,522500
Matt Moulson,LW,522500,522500
John Scott,D,522500,522500
Anthony Stewart,RW,522500,522500
Darroll Powe,C,507500,520000
Tanner Glass,LW,500000,520000
Oskars Bartulis,D,525000,516667
Derek Joslin,D,525000,516667
David Schlemko,D,525000,516667
