player,team,position,caphit_2016-17,caphit_2017-18,salary_2016-17,salary_2017-18,salary_2018-19,salary_2019-20,salary_2020-21
Blake Wheeler,WPG,Right,5.600,5.600,5.800,5.800,5.800,UFA,
Jason Pominville,MIN,Right,5.600,5.600,6.250,5.000,5.000,UFA,
Gabriel Landeskog,COL,Right,5.571,5.571,5.500,6.000,6.000,6.000,6.500
Duncan Keith,CHI,Defence,5.538,5.538,6.000,5.000,4.500,3.500,2.650
Nick Foligno,CLB,Left,5.500,5.500,5.500,5.500,5.500,5.500,5.500
Brooks Orpik,WAS,Defence,5.500,5.500,5.500,5.500,4.500,UFA,
Dan Girardi,NYR,Defence,5.500,5.500,6.000,5.000,4.000,4.000,UFA
Dave Bolland,ARI,Center,5.500,5.500,5.500,5.500,5.500,UFA,
John Tavares,NYI,Center,5.500,5.500,6.000,6.000,UFA,,
Nick Leddy,NYI,Defence,5.500,5.500,4.500,5.000,5.500,6.000,6.500
Oliver Ekman-Larsson,ARI,Defence,5.500,5.500,6.000,6.500,7.000,UFA,
Tyson Barrie,COL,Defence,5.500,5.500,5.000,5.250,5.750,6.000,UFA
Tyler Myers,WPG,Defence,5.500,5.500,4.000,3.500,3.000,UFA,
Andrej Sekera,EDM,Defence,5.500,5.500,6.500,5.500,5.500,4.500,4.500
Jaromir Jagr,FLA,Right,5.500,0.000,4.000,UFA,,,
Jeff Petry,MTL,Defence,5.500,5.500,7.000,6.000,5.000,4.000,4.000
Andrew Ladd,NYI,Left,5.500,5.500,8.000,7.500,6.000,5.000,4.000
Alex Goligoski,ARI,Defence,5.475,5.475,5.375,6.100,6.100,5.800,4.000
Rasmus Ristolainen,BUF,Defence,5.400,5.400,5.400,5.400,5.400,5.400,5.400
Jay Bouwmeester,STL,Defence,5.400,5.400,5.600,5.400,5.400,UFA,
Seth Jones,CLB,Defence,5.400,5.400,5.400,5.400,5.400,5.400,5.400
Jaden Schwartz,STL,Left,5.350,5.350,5.250,5.500,6.250,5.750,4.000
Jarome Iginla,COL,Right,5.333,0.000,5.000,UFA,,,
Nathan Horton,TOR,Center,5.300,5.300,6.000,6.000,4.500,3.600,UFA
Jimmy Howard,DET,Goaltender,5.292,5.292,5.500,5.000,4.250,UFA,
Marian Hossa,CHI,Right,5.275,5.275,4.000,1.000,1.000,1.000,1.000
Jeff Carter,LAK,Center,5.273,5.273,7.000,6.500,5.000,3.000,2.000
Mark Streit,PHI,Defence,5.250,0.000,4.000,UFA,,,
Frans Nielsen,DET,Center,5.250,5.250,6.000,6.000,6.000,5.500,5.000
Jamie Benn,DAL,Left,5.250,9.500,5.750,13.000,13.000,13.000,9.000
Torey Krug,BOS,Defence,5.250,5.250,5.000,5.500,5.500,5.000,UFA
Joffrey Lupul,TOR,Right,5.250,5.250,5.250,3.750,UFA,,
Dennis Wideman,CGY,Defence,5.250,0.000,6.000,UFA,,,
Hampus Lindholm,ANA,Defence,5.250,5.250,3.000,6.000,6.750,5.250,3.750
Evander Kane,BUF,Left,5.250,5.250,6.000,6.000,UFA,,
David Clarkson,CLB,Right,5.250,5.250,7.000,7.000,4.750,3.250,UFA
Jared Spurgeon,MIN,Defence,5.188,5.188,4.250,5.500,5.500,5.500,UFA
Mike Hoffman,OTT,Center,5.188,5.188,3.800,5.650,5.650,5.650,UFA
Zach Bogosian,BUF,Defence,5.143,5.143,5.250,5.500,6.000,6.000,UFA
Brayden Schenn,PHI,Center,5.125,5.125,6.000,5.000,5.000,4.500,UFA
Frederik Andersen,TOR,Goaltender,5.000,5.000,5.000,5.000,5.000,5.000,5.000
Alexander Edler,VAN,Defence,5.000,5.000,6.000,6.000,4.500,UFA,
Valtteri Filppula,TBL,Center,5.000,5.000,5.000,5.000,UFA,,
Andy Greene,NJD,Defence,5.000,5.000,5.000,5.000,5.000,5.000,UFA
James Neal,NAS,Left,5.000,5.000,5.000,5.000,UFA,,
Michael Cammalleri,NJD,Center,5.000,5.000,5.000,5.000,5.000,UFA,
Morgan Rielly,TOR,Defence,5.000,5.000,5.000,5.000,5.000,5.000,5.000
Danny DeKeyser,DET,Defence,5.000,5.000,4.000,5.500,5.500,5.500,4.500
Mikhail Grabovski,NYI,Center,5.000,5.000,5.000,6.000,UFA,,
Derick Brassard,OTT,Center,5.000,5.000,5.000,3.500,3.500,UFA,
Andrew MacDonald,PHI,Defence,5.000,5.000,4.750,5.250,5.500,5.750,UFA
Matt Moulson,BUF,Left,5.000,5.000,5.000,5.000,3.000,UFA,
Valtteri Filppula,PHI,Center,5.000,5.000,5.000,5.000,UFA,,
Chris Pronger,ARI,Defence,4.921,0.000,0.525,UFA,,,
Marc Methot,OTT,Defence,4.900,4.900,4.900,4.900,4.900,UFA,
Sami Vatanen,ANA,Defence,4.875,4.875,5.000,5.000,5.000,4.500,UFA
Marian Gaborik,LAK,Left,4.875,4.875,6.075,5.075,4.575,3.175,3.075
Paul Martin,SJS,Defence,4.850,4.850,5.000,4.400,4.250,UFA,
Ryane Clowe,NJD,Right,4.850,4.850,4.850,4.850,UFA,,
Shane Doan,ARI,Right,4.840,0.000,3.876,UFA,,,
Justin Faulk,CAR,Defence,4.833,4.833,5.500,5.500,6.000,6.000,UFA
Nikita Kucherov,TBL,Right,4.767,4.767,4.250,4.500,5.550,RFA,
Ben Bishop,LAK,Goaltender,4.760,0.000,5.950,UFA,,,
Niklas Kronwall,DET,Defence,4.750,4.750,5.500,3.500,1.750,UFA,
Scott Hartnell,CLB,Right,4.750,4.750,5.000,4.500,3.000,UFA,
Vincent Trocheck,FLA,Center,4.750,4.750,3.750,4.500,5.250,5.250,3.500
Carl Soderberg,COL,Center,4.750,4.750,4.750,5.000,5.000,4.000,UFA
Gustav Nyquist,DET,Center,4.750,4.750,4.250,5.250,5.500,UFA,
Jori Lehtera,STL,Center,4.700,4.700,4.400,4.700,5.000,UFA,
Bryan Little,WPG,Center,4.700,4.700,5.000,5.000,UFA,,
Ryan McDonagh,NYR,Defence,4.700,4.700,5.000,5.100,5.300,UFA,
Clarke MacArthur,OTT,Left,4.650,4.650,4.500,4.750,4.750,4.750,UFA
T.J. Brodie,CGY,Defence,4.650,4.650,4.838,4.838,4.838,4.838,UFA
Kyle Palmieri,NJD,Center,4.650,4.650,4.500,4.500,5.000,5.000,4.250
Chris Kreider,NYR,Left,4.625,4.625,5.000,5.000,4.500,4.000,UFA
Jason Garrison,TBL,Defence,4.600,4.600,3.600,2.500,UFA,,
Tyler Ennis,BUF,Left,4.600,4.600,3.650,3.650,3.650,UFA,
Marcus Johansson,WAS,Center,4.583,4.583,4.250,4.750,4.750,UFA,
Artem Anisimov,CHI,Center,4.550,4.550,5.750,5.000,5.000,4.000,3.000
Roberto Luongo,FLA,Goaltender,4.533,4.533,6.714,6.714,3.382,1.618,1.000
Alexandre Burrows,VAN,Left,4.500,0.000,3.000,UFA,,,
Anton Stralman,TBL,Defence,4.500,4.500,4.500,4.500,4.500,UFA,
