player,position,signed_after_season,length_years,cap_hit
Pearson,L,2016-2017,4,3750000
Teuvo,L,2017-2018,5,5400000
Vatrano,L,2017-2018,3,2533333
Johnston,L,2017-2018,4,1000000
Khaira,L,2018-2019,2,1200000
Lehkonen,L,2018-2019,2,2400000
Johnsson,L,2018-2019,4,3400000
Bucjnevic,L,2018-2019,2,3250000
Sanford,L,2018-2019,2,1500000
Milano,L,2019-2020,2,1700000
Debrusk,L,2019-2020,2,3675000
Mangiapane,L,2019-2020,2,2425000
Foegele,L,2019-2020,1,2150000
Lemieux,L,2019-2020,2,1550000
McCann,L,2019-2020,2,2940000
Virtanen,L,2019-2020,2,2550000
Hyman,L,2016-2017,4,2250000
Goodrow,L,2017-2018,2,925000
Baertschi,L,2017-2018,3,3367000
Lowry,L,2017-2018,3,2916667
McGinn,L,2018-2019,2,2100000
Carrier,L,2018-2019,4,1400000
Kubalik,L,2019-2020,2,3700000
Burakovsky,L,2019-2020,2,4900000
Bertuzzi,L,2019-2020,1,3500000
Erne,L,2019-2020,1,997500
Duclair,L,2019-2020,1,1700000
di Guiseppe,L,2019-2020,1,700000
De La Rose,L,2019-2020,1,700000
Benn,L,2015-2016,8,9500000
Hoffman,L,2015-2016,4,5187500
Boedker,L,2015-2016,4,4000000
Tatar,L,2016-2017,4,5300000
Palat,L,2016-2017,5,5300000
Martinook,L,2017-2018,2,2000000
Zucker,L,2017-2018,5,5500000
Kane,L,2017-2018,7,7000000
Andrew Agozzino,L,2018-2019,2,700000
MacEachern,L,2019-2020,2,900000
Soup,L,2019-2020,2,1645000
Parise,L,2011-2012,13,7538462
Foligno,L,2013-2014,6,5500000
Matt Martin,L,2015-2016,4,2500000
Paajarvi,L,2017-2018,1,900000
Skinner,L,2018-2019,8,9000000
Sheahan,L,2018-2019,1,900000
Breadman,L,2018-2019,7,11642857
Watson - 2,L,2018-2019,3,1500000
Ferland,L,2018-2019,4,3500000
Leivo,L,2019-2020,1,875000
Rodriqes,L,2019-2020,1,700000
Nieto,L,2019-2020,1,700000
Vesey,L,2019-2020,1,900000
Boyd,L,2019-2020,1,700000
Zetterberg,L,2007-2008,12,6083333
Marchand,L,2015-2016,8,6125000
Lucic,L,2015-2016,7,6000000
Foligno,L,2016-2017,4,2962500
Bailey,L,2016-2017,6,5000000
Calvert,L,2017-2018,3,2850000
Roussel,L,2017-2018,4,3000000
Deslauriers,L,2018-2019,2,1000000
Bourque,L,2018-2019,1,700000
Johan Larsson,L,2019-2020,2,1400000
Hall,L,2019-2020,1,8000000
Nordstrom,L,2019-2020,1,700000
Kreider,L,2019-2020,7,6500000
Nosek,L,2019-2020,1,1250000
Sheary,L,2019-2020,1,735000
Franzen,L,2008-2009,11,3954545
MacArthur,L,2013-2014,5,4650000
Sobotka,L,2013-2014,3,3500000
Comeau,L,2017-2018,3,2400000
JVR,L,2017-2018,5,7000000
Pacioretty,L,2017-2018,4,7000000
Ladd,L,2015-2016,7,5500000
Cogliano,L,2016-2017,3,3250000
Neal,L,2017-2018,5,5750000
Perron,L,2017-2018,4,4000000
Raffl,L,2018-2019,2,1600000
