Serving HTTP on 0.0.0.0 port 8000 (http://0.0.0.0:8000/) ...
127.0.0.1 - - [08/Sep/2026 18:18:44] "GET /fonts/BarlowCondensed-700-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:44] "GET /data/seasons/2020-21.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:44] "GET /data/seasons/1979-80.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:48] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:48] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:48] "GET /fonts/BarlowCondensed-800-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:48] "GET /js/game.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:48] "GET /js/data.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:48] "GET /js/sim.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:48] "GET /js/recit.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:48] "GET /js/logos.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:48] "GET /js/ratings.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:48] "GET /js/traits.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:48] "GET /data/reputations.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:48] "GET /data/trophees.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:48] "GET /data/index.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:48] "GET /data/seasons/1996-97.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:48] "GET /fonts/BarlowCondensed-700-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:48] "GET /data/seasons/2001-02.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:49] "GET /data/seasons/1987-88.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:49] "GET /data/seasons/1984-85.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:49] "GET /data/seasons/1975-76.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:50] "GET /data/seasons/2023-24.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:50] "GET /data/seasons/1978-79.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:50] "GET /data/seasons/1980-81.json HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:51] "GET /fonts/BarlowCondensed-600-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:53] "GET / HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:53] "GET /style.css HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:53] "GET /fonts/BarlowCondensed-800-latin.woff2 HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:53] "GET /js/game.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:53] "GET /js/data.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:53] "GET /js/ratings.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:53] "GET /js/logos.js HTTP/1.1" 200 -
127.0.0.1 - - [08/Sep/2026 18:18:53] "GET /js/sim.js HTTP/1.1" 200 -
